,step,entity,name,id,model,dataset,subset,initial_model,project,exit_condition,metric,seed,train,dev,test,range_from,range_to
89,20,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9990079608684762,0.942428254351466,0.9322709163346613,1,2
90,21,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9940968760589527,0.9325571434134184,0.9233767632174007,1,2
91,22,szegedai-semantics,stellar-mountain-256,7njensnh,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9518026136793356,0.9004906350998793,0.8954883170022613,0,1
92,0,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9944897628437146,0.9513842918889451,0.9437277915365565,14,15
93,1,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9979275222103811,0.9522409563490518,0.9445892107246688,21,22
94,2,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9987771398824287,0.9521630777617694,0.9443738559276408,3,4
95,3,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.999061982801381,0.9523772438767961,0.9437923979756649,0,1
96,4,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9992338707697144,0.9525914099918228,0.9459244104662431,1,2
97,5,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.999268248363381,0.9530392118686967,0.9449553138796166,7,8
98,6,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9994597806709524,0.9525914099918228,0.9458167330677291,14,15
99,7,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9994499585013333,0.9527471671663876,0.944912242920211,13,14
100,8,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9994892471798096,0.9527082278727463,0.9459028749865404,3,4
101,9,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995629134519524,0.952533001051361,0.9452137396360504,13,14
102,10,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9995825577911905,0.952085199174487,0.9438570044147734,11,12
103,11,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9996365797240953,0.9527471671663876,0.9439431463335846,10,11
104,12,szegedai-semantics,rural-shadow-255,amtovh9x,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,accuracy,42,0.9997004238266191,0.951987850940384,0.9437493270162592,1,2
