,step,entity,name,id,model,dataset,subset,initial_model,project,exit_condition,metric,seed,train,dev,test,range_from,range_to
68,22,szegedai-semantics,bumbling-shape-168,10esap81,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9417965372763749,0.8802406223289732,0.8695293249446523,0,1
69,0,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9962662505672274,0.9596879063719116,0.9282888393896074,20,21
70,1,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9974368771293025,0.9599266217541197,0.9328994986553338,9,10
71,2,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9984556107502228,0.9607849343250514,0.9331739866547156,20,21
72,3,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9984153149063921,0.9584100577814464,0.9299583680266446,13,14
73,4,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9986863371097825,0.9564996668464638,0.9296467382273769,13,14
74,5,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9986547049505267,0.9580428444669793,0.9290846194784459,16,17
75,6,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9990605394732652,0.9551803870640778,0.9258730105990629,2,3
76,7,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9993630978918541,0.9552693357020493,0.9269627306396183,1,2
77,8,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9991560778319162,0.9533800272557283,0.9225488235686196,2,3
78,9,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9989014488138831,0.9506982046167001,0.9230769230769231,13,14
79,10,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9992516042738172,0.9500762195121951,0.9195716716149047,0,1
80,11,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9991481637754654,0.9493803290120131,0.9186523144599592,9,10
81,12,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9990605544321131,0.9462617562304063,0.9141360562259647,5,6
82,13,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9991720140757607,0.9459948566530145,0.9199585242666489,9,10
83,14,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9992038470112417,0.9429152628567795,0.9120941585581971,7,8
84,15,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9993233615398699,0.9374226902217007,0.907438841737394,2,3
85,16,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9991402095341209,0.9348447323299676,0.9055773972146332,1,2
86,17,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9994267607203706,0.9316782017905898,0.9010482740201643,5,6
87,18,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9994109124488528,0.9290843235686598,0.89534612176814,1,2
88,19,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9990925300897917,0.917383985007782,0.8817225838758136,1,2
89,20,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9989968951516598,0.9088076311605723,0.8693675625083569,2,3
90,21,szegedai-semantics,stellar-elevator-167,fbh0krmv,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9952896994000733,0.8764970777043212,0.8296356057550088,0,1
